Title,Worldwide,Domestic,Domestic_percent,Foreign,Foreign_percent
Avengers: Endgame,"$2,797,501,328","$858,373,000",30.70%,"$1,939,128,328",69.30%
Star Wars: Episode VII - The Force Awakens,"$2,068,223,624","$936,662,225",45.30%,"$1,131,561,399",54.70%
Avengers: Infinity War,"$2,048,359,754","$678,815,482",33.10%,"$1,369,544,272",66.90%
Spider-Man: No Way Home,"$1,906,693,477","$804,793,477",42.20%,"$1,101,900,000",57.80%
Jurassic World,"$1,670,400,637","$652,270,625",39%,"$1,018,130,012",61%
The Lion King,"$1,656,943,394","$543,638,043",32.80%,"$1,113,305,351",67.20%
The Avengers,"$1,518,812,988","$623,357,910",41%,"$895,455,078",59%
Furious 7,"$1,515,047,671","$353,007,020",23.30%,"$1,162,040,651",76.70%
Top Gun: Maverick,"$1,488,732,821","$718,732,821",48.30%,"$770,000,000",51.70%
Frozen II,"$1,450,026,933","$477,373,578",32.90%,"$972,653,355",67.10%
Avengers: Age of Ultron,"$1,402,805,868","$459,005,868",32.70%,"$943,800,000",67.30%
Black Panther,"$1,346,913,161","$700,059,566",52%,"$646,853,595",48%
Harry Potter and the Deathly Hallows: Part 2,"$1,341,511,219","$381,011,219",28.40%,"$960,500,000",71.60%
Star Wars: Episode VIII - The Last Jedi,"$1,332,539,889","$620,181,382",46.50%,"$712,358,507",53.50%
Jurassic World: Fallen Kingdom,"$1,308,467,944","$417,719,760",31.90%,"$890,748,184",68.10%
Frozen,"$1,280,802,282","$400,738,009",31.30%,"$880,064,273",68.70%
Beauty and the Beast,"$1,263,521,126","$504,014,165",39.90%,"$759,506,961",60.10%
Incredibles 2,"$1,242,805,359","$608,581,744",49%,"$634,223,615",51%
The Fate of the Furious,"$1,236,005,118","$226,008,385",18.30%,"$1,009,996,733",81.70%
Iron Man 3,"$1,214,811,252","$409,013,994",33.70%,"$805,797,258",66.30%
Minions,"$1,159,398,397","$336,045,770",29%,"$823,352,627",71%
Captain America: Civil War,"$1,153,296,293","$408,084,349",35.40%,"$745,211,944",64.60%
Aquaman,"$1,148,461,807","$335,061,807",29.20%,"$813,400,000",70.80%
Spider-Man: Far from Home,"$1,131,927,996","$390,532,085",34.50%,"$741,395,911",65.50%
Captain Marvel,"$1,128,274,794","$426,829,839",37.80%,"$701,444,955",62.20%
Transformers: Dark of the Moon,"$1,123,794,079","$352,390,543",31.40%,"$771,403,536",68.60%
Skyfall,"$1,108,561,013","$304,360,277",27.50%,"$804,200,736",72.50%
Transformers: Age of Extinction,"$1,104,054,072","$245,439,076",22.20%,"$858,614,996",77.80%
Avatar: The Way of Water,"$1,100,800,853","$338,000,853",30.70%,"$762,800,000",69.30%
The Dark Knight Rises,"$1,081,041,287","$448,139,099",41.50%,"$632,902,188",58.50%
Joker,"$1,074,251,311","$335,451,311",31.20%,"$738,800,000",68.80%
Star Wars: Episode IX - The Rise of Skywalker,"$1,074,144,248","$515,202,542",48%,"$558,941,706",52%
Toy Story 4,"$1,073,394,593","$434,038,008",40.40%,"$639,356,585",59.60%
Toy Story 3,"$1,066,969,703","$415,004,880",38.90%,"$651,964,823",61.10%
Rogue One: A Star Wars Story,"$1,056,057,273","$532,177,324",50.40%,"$523,879,949",49.60%
Aladdin,"$1,050,693,953","$355,559,216",33.80%,"$695,134,737",66.20%
Pirates of the Caribbean: On Stranger Tides,"$1,045,713,802","$241,071,802",23.10%,"$804,642,000",76.90%
Despicable Me 3,"$1,034,799,409","$264,624,300",25.60%,"$770,175,109",74.40%
Finding Dory,"$1,028,570,889","$486,295,561",47.30%,"$542,275,328",52.70%
Alice in Wonderland,"$1,025,467,110","$334,191,110",32.60%,"$691,276,000",67.40%
Zootopia,"$1,023,784,195","$341,268,248",33.30%,"$682,515,947",66.70%
The Hobbit: An Unexpected Journey,"$1,017,003,568","$303,003,568",29.80%,"$714,000,000",70.20%
Jurassic World: Dominion,"$1,001,136,080","$376,009,080",37.60%,"$625,127,000",62.40%
Harry Potter and the Deathly Hallows: Part 1,"$976,536,918","$295,983,305",30.30%,"$680,553,613",69.70%
Despicable Me 2,"$970,766,005","$368,065,385",37.90%,"$602,700,620",62.10%
The Jungle Book,"$966,550,600","$364,001,123",37.70%,"$602,549,477",62.30%
Jumanji: Welcome to the Jungle,"$962,077,546","$404,515,480",42%,"$557,562,066",58%
The Hobbit: The Desolation of Smaug,"$958,366,855","$258,366,855",27%,"$700,000,000",73%
The Hobbit: The Battle of the Five Armies,"$956,019,788","$255,119,788",26.70%,"$700,900,000",73.30%
Doctor Strange in the Multiverse of Madness,"$955,775,804","$411,331,607",43%,"$544,444,197",57%
Minions: The Rise of Gru,"$939,433,210","$369,500,210",39.30%,"$569,933,000",60.70%
Bohemian Rhapsody,"$903,655,259","$216,428,042",24%,"$687,227,217",76%
The Battle at Lake Changjin,"$902,548,476","$342,411",<0.1%,"$902,206,065",100%
Spectre,"$880,674,609","$200,074,609",22.70%,"$680,600,000",77.30%
Spider-Man: Homecoming,"$880,166,924","$334,201,140",38%,"$545,965,784",62%
Ice Age: Continental Drift,"$877,244,782","$161,321,843",18.40%,"$715,922,939",81.60%
The Secret Life of Pets,"$875,457,937","$368,384,330",42.10%,"$507,073,607",57.90%
Batman v Superman: Dawn of Justice,"$873,634,919","$330,360,194",37.80%,"$543,274,725",62.20%
Wolf Warrior 2,"$870,325,439","$2,721,100",0.30%,"$867,604,339",99.70%
The Hunger Games: Catching Fire,"$865,011,746","$424,668,047",49.10%,"$440,343,699",50.90%
Guardians of the Galaxy Vol. 2,"$863,756,051","$389,813,101",45.10%,"$473,942,950",54.90%
Inside Out,"$857,611,174","$356,461,711",41.60%,"$501,149,463",58.40%
Venom,"$856,085,151","$213,515,506",24.90%,"$642,569,645",75.10%
Thor: Ragnarok,"$853,977,126","$315,058,289",36.90%,"$538,918,837",63.10%
The Twilight Saga: Breaking Dawn - Part 2,"$829,746,820","$292,324,737",35.20%,"$537,422,083",64.80%
Inception,"$826,137,188","$292,576,195",35.40%,"$533,560,993",64.60%
"Hi, Mom","$822,009,764",-,-,"$822,009,764",100%
Wonder Woman,"$821,847,012","$412,563,408",50.20%,"$409,283,604",49.80%
Fantastic Beasts and Where to Find Them,"$814,037,575","$234,037,575",28.80%,"$580,000,000",71.20%
Coco,"$807,816,196","$210,460,015",26.10%,"$597,356,181",73.90%
Black Panther: Wakanda Forever,"$806,857,711","$431,554,851",53.50%,"$375,302,860",46.50%
Jumanji: The Next Level,"$801,693,929","$320,314,960",40%,"$481,378,969",60%
Pirates of the Caribbean: Dead Men Tell No Tales,"$794,861,794","$172,558,876",21.70%,"$622,302,918",78.30%
Mission: Impossible - Fallout,"$791,115,104","$220,159,104",27.80%,"$570,956,000",72.20%
Fast & Furious 6,"$788,679,850","$238,679,850",30.30%,"$550,000,000",69.70%
Deadpool,"$782,612,155","$363,070,709",46.40%,"$419,541,446",53.60%
No Time to Die,"$774,153,007","$160,891,007",20.80%,"$613,262,000",79.20%
Guardians of the Galaxy,"$772,776,600","$333,176,600",43.10%,"$439,600,000",56.90%
The Batman,"$770,836,163","$369,345,583",47.90%,"$401,490,580",52.10%
Thor: Love and Thunder,"$760,928,081","$343,256,830",45.10%,"$417,671,251",54.90%
Fast & Furious Presents: Hobbs & Shaw,"$760,732,926","$173,956,935",22.90%,"$586,775,991",77.10%
Maleficent,"$758,410,378","$241,410,378",31.80%,"$517,000,000",68.20%
The Amazing Spider-Man,"$757,930,663","$262,030,663",34.60%,"$495,900,000",65.40%
The Hunger Games: Mockingjay - Part 1,"$755,356,711","$337,135,885",44.60%,"$418,220,826",55.40%
Shrek Forever After,"$752,600,867","$238,736,787",31.70%,"$513,864,080",68.30%
Madagascar 3: Europe's Most Wanted,"$746,921,274","$216,391,482",29%,"$530,529,792",71%
Suicide Squad,"$746,846,894","$325,100,054",43.50%,"$421,746,840",56.50%
X-Men: Days of Future Past,"$746,045,700","$233,921,534",31.40%,"$512,124,166",68.60%
Monsters University,"$743,559,607","$268,492,764",36.10%,"$475,066,843",63.90%
Deadpool 2,"$734,546,611","$318,491,426",43.40%,"$416,055,185",56.60%
F9: The Fast Saga,"$726,229,501","$173,005,945",23.80%,"$553,223,556",76.20%
Ne Zha,"$726,063,471","$3,695,533",0.50%,"$722,367,938",99.50%
Gravity,"$723,192,705","$274,092,705",37.90%,"$449,100,000",62.10%
Captain America: The Winter Soldier,"$714,421,503","$259,766,572",36.40%,"$454,654,931",63.60%
The Twilight Saga: Breaking Dawn - Part 1,"$712,205,856","$281,287,133",39.50%,"$430,918,723",60.50%
Dawn of the Planet of the Apes,"$710,644,566","$208,545,589",29.30%,"$502,098,977",70.70%
The Amazing Spider-Man 2,"$708,982,323","$202,853,933",28.60%,"$506,128,390",71.40%
It,"$700,381,748","$327,481,748",46.80%,"$372,900,000",53.20%
The Wandering Earth,"$699,856,699","$5,971,413",0.90%,"$693,885,286",99.10%
The Twilight Saga: Eclipse,"$698,491,347","$300,531,751",43%,"$397,959,596",57%
Mission: Impossible - Ghost Protocol,"$694,713,380","$209,397,903",30.10%,"$485,315,477",69.90%
The Hunger Games,"$694,394,724","$408,010,692",58.80%,"$286,384,032",41.20%
Detective Chinatown 3,"$686,257,563",-,-,"$686,257,563",100%
Mission: Impossible - Rogue Nation,"$682,714,267","$195,042,377",28.60%,"$487,671,890",71.40%
Interstellar,"$677,896,797","$188,020,017",27.70%,"$489,876,780",72.30%
Doctor Strange,"$677,718,395","$232,641,920",34.30%,"$445,076,475",65.70%
Man of Steel,"$668,045,518","$291,045,518",43.60%,"$377,000,000",56.40%
Kung Fu Panda 2,"$665,692,281","$165,249,063",24.80%,"$500,443,218",75.20%
Justice League,"$657,924,295","$229,024,295",34.80%,"$428,900,000",65.20%
Big Hero 6,"$657,827,828","$222,527,828",33.80%,"$435,300,000",66.20%
Fantastic Beasts: The Crimes of Grindelwald,"$654,855,901","$159,555,901",24.40%,"$495,300,000",75.60%
Men in Black 3,"$654,213,485","$179,020,854",27.40%,"$475,192,631",72.60%
The Hunger Games: Mockingjay - Part 2,"$653,428,261","$281,723,902",43.10%,"$371,704,359",56.90%
Thor: The Dark World,"$644,783,140","$206,362,140",32%,"$438,421,000",68%
Moana,"$643,331,111","$248,757,044",38.70%,"$394,574,067",61.30%
Sing,"$634,151,679","$270,395,425",42.60%,"$363,756,254",57.40%
The Martian,"$630,161,890","$228,433,663",36.20%,"$401,728,227",63.80%
Water Gate Bridge,"$626,571,697","$117,294",<0.1%,"$626,454,403",100%
Fast Five,"$626,137,675","$209,837,675",33.50%,"$416,300,000",66.50%
Iron Man 2,"$623,933,331","$312,433,331",50.10%,"$311,500,000",49.90%
Ant-Man and the Wasp,"$622,674,139","$216,648,740",34.80%,"$406,025,399",65.20%
How to Train Your Dragon 2,"$621,537,519","$177,002,924",28.50%,"$444,534,595",71.50%
Logan,"$619,021,436","$226,277,068",36.60%,"$392,744,368",63.40%
Life of Pi,"$609,016,565","$124,987,023",20.50%,"$484,029,542",79.50%
Transformers: The Last Knight,"$605,425,157","$130,168,683",21.50%,"$475,256,474",78.50%
Tangled,"$592,461,732","$200,821,936",33.90%,"$391,639,796",66.10%
The Croods,"$587,204,668","$187,168,425",31.90%,"$400,036,243",68.10%
The Hangover Part II,"$586,764,305","$254,464,305",43.40%,"$332,300,000",56.60%
Ready Player One,"$582,890,172","$137,690,172",23.60%,"$445,200,000",76.40%
Operation Red Sea,"$579,330,426","$1,543,547",0.30%,"$577,786,879",99.70%
Fifty Shades of Grey,"$569,651,467","$166,167,230",29.20%,"$403,484,237",70.80%
Kong: Skull Island,"$566,652,812","$168,052,812",29.70%,"$398,600,000",70.30%
The Smurfs,"$563,749,323","$142,614,158",25.30%,"$421,135,165",74.70%
Cars 2,"$559,852,396","$191,452,396",34.20%,"$368,400,000",65.80%
Puss in Boots,"$554,987,477","$149,260,504",26.90%,"$405,726,973",73.10%
The Mermaid,"$553,810,228","$3,232,685",0.60%,"$550,577,543",99.40%
Ted,"$549,368,315","$218,815,487",39.80%,"$330,552,828",60.20%
American Sniper,"$547,426,372","$350,126,372",64%,"$197,300,000",36%
Detective Chinatown 2,"$544,185,156","$1,983,984",0.40%,"$542,201,172",99.60%
X-Men: Apocalypse,"$543,934,105","$155,442,489",28.60%,"$388,491,616",71.40%
Sherlock Holmes: A Game of Shadows,"$543,848,418","$186,848,418",34.40%,"$357,000,000",65.60%
Despicable Me,"$543,113,985","$251,513,985",46.30%,"$291,600,000",53.70%
Cinderella,"$542,351,353","$201,151,353",37.10%,"$341,200,000",62.90%
World War Z,"$540,007,876","$202,359,711",37.50%,"$337,648,165",62.50%
Brave,"$538,983,207","$237,283,207",44%,"$301,700,000",56%
The Revenant,"$532,950,503","$183,637,894",34.50%,"$349,312,609",65.50%
The Meg,"$530,243,742","$145,443,742",27.40%,"$384,800,000",72.60%
Ralph Breaks the Internet,"$529,323,962","$201,091,711",38%,"$328,232,251",62%
Hotel Transylvania 3: Summer Vacation,"$528,583,774","$167,510,016",31.70%,"$361,073,758",68.30%
The Boss Baby,"$527,965,936","$175,003,033",33.10%,"$352,962,903",66.90%
Dunkirk,"$525,245,546","$188,045,546",35.80%,"$337,200,000",64.20%
Godzilla,"$524,976,069","$200,676,069",38.20%,"$324,300,000",61.80%
How to Train Your Dragon: The Hidden World,"$521,799,505","$160,799,505",30.80%,"$361,000,000",69.20%
Kung Fu Panda 3,"$521,170,825","$143,528,619",27.50%,"$377,642,206",72.50%
Ant-Man,"$519,311,965","$180,202,163",34.70%,"$339,109,802",65.30%
The Grinch,"$511,595,957","$270,620,950",52.90%,"$240,975,007",47.10%
Venom: Let There Be Carnage,"$506,863,592","$213,550,366",42.10%,"$293,313,226",57.90%
Rio 2,"$498,781,117","$131,538,435",26.40%,"$367,242,682",73.60%
How to Train Your Dragon,"$494,878,759","$217,581,231",44%,"$277,297,528",56%
Oz the Great and Powerful,"$493,311,825","$234,911,825",47.60%,"$258,400,000",52.40%
Clash of the Titans,"$493,214,993","$163,214,888",33.10%,"$330,000,105",66.90%
Maleficent: Mistress of Evil,"$491,730,089","$113,929,605",23.20%,"$377,800,484",76.80%
War for the Planet of the Apes,"$490,719,763","$146,880,162",29.90%,"$343,839,601",70.10%
Teenage Mutant Ninja Turtles,"$485,004,754","$191,204,754",39.40%,"$293,800,000",60.60%
Rio,"$483,866,518","$143,619,809",29.70%,"$340,246,709",70.30%
Rise of the Planet of the Apes,"$481,800,873","$176,760,185",36.70%,"$305,040,688",63.30%
Hotel Transylvania 2,"$474,800,000","$169,700,110",35.70%,"$305,099,890",64.30%
San Andreas,"$473,990,832","$155,190,832",32.70%,"$318,800,000",67.30%
It Chapter Two,"$473,093,228","$211,593,228",44.70%,"$261,500,000",55.30%
Wreck-It Ralph,"$471,222,889","$189,422,889",40.20%,"$281,800,000",59.80%
Godzilla vs. Kong,"$470,067,014","$100,916,094",21.50%,"$369,150,920",78.50%
The Lego Movie,"$468,060,692","$257,760,692",55.10%,"$210,300,000",44.90%
Bumblebee,"$467,989,645","$127,195,589",27.20%,"$340,794,056",72.80%
Star Trek Into Darkness,"$467,365,246","$228,778,661",49%,"$238,586,585",51%
The Eight Hundred,"$461,421,559","$372,755",<0.1%,"$461,048,804",99.90%
Moon Man,"$460,237,662",-,-,"$460,237,662",100%
Lucy,"$458,863,600","$126,663,600",27.60%,"$332,200,000",72.40%
Demon Slayer the Movie: Mugen Train,"$453,210,959","$49,505,008",10.90%,"$403,705,951",89.10%
Dying to Survive,"$451,176,639",-,-,"$451,176,639",100%
"My People, My Country","$450,064,993","$2,356,683",0.50%,"$447,708,310",99.50%
Thor,"$449,326,618","$181,030,624",40.30%,"$268,295,994",59.70%
La La Land,"$447,407,695","$151,101,803",33.80%,"$296,305,892",66.20%
Les Misérables,"$442,299,309","$148,809,770",33.60%,"$293,489,539",66.40%
Terminator Genisys,"$440,603,537","$89,760,956",20.40%,"$350,842,581",79.60%
Warcraft,"$439,048,914","$47,365,290",10.80%,"$391,683,624",89.20%
A Star Is Born,"$436,188,866","$215,288,866",49.40%,"$220,900,000",50.60%
The Greatest Showman,"$434,993,183","$174,340,174",40.10%,"$260,653,009",59.90%
Pokémon Detective Pikachu,"$433,005,346","$144,105,346",33.30%,"$288,900,000",66.70%
Shang-Chi and the Legend of the Ten Rings,"$432,243,292","$224,543,292",51.90%,"$207,700,000",48.10%
The Secret Life of Pets 2,"$431,058,415","$158,874,395",36.90%,"$272,184,020",63.10%
Rampage,"$428,028,233","$101,028,233",23.60%,"$327,000,000",76.40%
The Intouchables,"$426,588,510","$10,198,820",2.40%,"$416,389,690",97.60%
Bad Boys for Life,"$426,505,244","$206,305,244",48.40%,"$220,200,000",51.60%
Django Unchained,"$425,368,238","$162,805,434",38.30%,"$262,562,804",61.70%
The King's Speech,"$423,999,102","$135,453,143",31.90%,"$288,545,959",68.10%
"My People, My Homeland","$422,390,820",-,-,"$422,390,820",100%
The Captain,"$417,282,021","$706,572",0.20%,"$416,575,449",99.80%
The Chronicles of Narnia: The Voyage of the Dawn Treader,"$415,686,217","$104,386,950",25.10%,"$311,299,267",74.90%
Jason Bourne,"$415,484,914","$162,434,410",39.10%,"$253,050,504",60.90%
The Wolverine,"$414,828,246","$132,556,852",32%,"$282,271,394",68%
Kingsman: The Secret Service,"$414,351,546","$128,261,724",31%,"$286,089,822",69%
Pacific Rim,"$411,002,906","$101,802,906",24.80%,"$309,200,000",75.20%
Kingsman: The Golden Circle,"$410,902,662","$100,234,838",24.40%,"$310,667,824",75.60%
The Mummy,"$409,231,607","$80,227,895",19.60%,"$329,003,712",80.40%
Ice Age: Collision Course,"$408,579,038","$64,063,008",15.70%,"$344,516,030",84.30%
Sing 2,"$407,562,227","$162,790,990",39.90%,"$244,771,237",60.10%
Fantastic Beasts: The Secrets of Dumbledore,"$405,161,334","$95,850,844",23.70%,"$309,310,490",76.30%
Alita: Battle Angel,"$404,980,543","$85,838,210",21.20%,"$319,142,333",78.80%
Prometheus,"$403,354,469","$126,477,084",31.40%,"$276,877,385",68.60%
Sonic the Hedgehog 2,"$402,656,846","$190,872,904",47.40%,"$211,783,942",52.60%
Eternals,"$402,064,899","$164,870,234",41%,"$237,194,665",59%
Dune,"$401,847,900","$108,327,830",27%,"$293,520,070",73%
Uncharted,"$401,748,820","$148,648,820",37%,"$253,100,000",63%
Tron: Legacy,"$400,062,763","$172,062,763",43%,"$228,000,000",57%
Snow White and the Huntsman,"$396,592,829","$155,332,381",39.20%,"$241,260,448",60.80%
Mamma Mia! Here We Go Again,"$395,044,706","$120,634,935",30.50%,"$274,409,771",69.50%
Solo: A Star Wars Story,"$392,924,807","$213,767,512",54.40%,"$179,157,295",45.60%
The Wolf of Wall Street,"$392,000,694","$116,900,694",29.80%,"$275,100,000",70.20%
Black Adam,"$391,273,355","$167,873,355",42.90%,"$223,400,000",57.10%
Independence Day: Resurgence,"$389,681,935","$103,144,286",26.50%,"$286,537,649",73.50%
Monster Hunt,"$387,053,506","$32,766",<0.1%,"$387,020,740",100%
Godzilla: King of the Monsters,"$386,600,138","$110,500,138",28.60%,"$276,100,000",71.40%
Home,"$386,041,607","$177,397,510",46%,"$208,644,097",54%
1917,"$384,577,421","$159,227,644",41.40%,"$225,349,777",58.60%
Cars 3,"$383,930,656","$152,901,115",39.80%,"$231,029,541",60.20%
Fifty Shades Darker,"$381,545,846","$114,581,250",30%,"$266,964,596",70%
Black Widow,"$379,751,655","$183,651,655",48.40%,"$196,100,000",51.60%
Once Upon a Time in Hollywood,"$377,426,903","$142,502,728",37.80%,"$234,924,175",62.20%
Taken 2,"$376,141,306","$139,854,287",37.20%,"$236,287,019",62.80%
G.I. Joe: Retaliation,"$375,740,705","$122,523,060",32.60%,"$253,217,645",67.40%
Spider-Man: Into the Spider-Verse,"$375,540,831","$190,241,310",50.70%,"$185,299,521",49.30%
Mad Max: Fury Road,"$374,736,354","$153,636,354",41%,"$221,100,000",59%
The Adventures of Tintin,"$373,993,951","$77,591,831",20.70%,"$296,402,120",79.30%
Penguins of Madagascar,"$373,515,621","$83,850,911",22.40%,"$289,664,710",77.60%
Fifty Shades Freed,"$371,985,018","$100,407,760",27%,"$271,577,258",73%
Captain America: The First Avenger,"$370,569,774","$176,654,505",47.70%,"$193,915,269",52.30%
Edge of Tomorrow,"$370,541,256","$100,206,256",27%,"$270,335,000",73%
Gone Girl,"$369,330,363","$167,767,189",45.40%,"$201,563,174",54.60%
Hello Mr. Billionaire,"$366,961,907",-,-,"$366,961,907",100%
Shazam!,"$365,971,656","$140,371,656",38.40%,"$225,600,000",61.60%
The Nun,"$365,550,119","$117,450,119",32.10%,"$248,100,000",67.90%
Tenet,"$365,294,355","$58,504,105",16%,"$306,790,250",84%
Night at the Museum: Secret of the Tomb,"$363,204,635","$113,746,621",31.30%,"$249,458,014",68.70%
The Hangover Part III,"$362,000,072","$112,200,072",31%,"$249,800,000",69%
Monster Hunt 2,"$361,682,618","$706,153",0.20%,"$360,976,465",99.80%
Noah,"$359,200,044","$101,200,044",28.20%,"$258,000,000",71.80%
The Karate Kid,"$359,126,022","$176,591,618",49.20%,"$182,534,404",50.80%
Hotel Transylvania,"$358,375,603","$148,313,048",41.40%,"$210,062,555",58.60%
Your Name.,"$357,986,087","$5,017,246",1.40%,"$352,968,841",98.60%
The Legend of Tarzan,"$356,700,357","$126,643,061",35.50%,"$230,057,296",64.50%
The Great Gatsby,"$353,641,895","$144,840,419",41%,"$208,801,476",59%
Dumbo,"$353,284,621","$114,766,307",32.50%,"$238,518,314",67.50%
Murder on the Orient Express,"$352,789,811","$102,826,543",29.10%,"$249,963,268",70.90%
X-Men: First Class,"$352,616,690","$146,408,305",41.50%,"$206,208,385",58.50%
The Angry Birds Movie,"$352,333,929","$107,509,366",30.50%,"$244,824,563",69.50%
Now You See Me,"$351,723,989","$117,723,989",33.50%,"$234,000,000",66.50%
Peter Rabbit,"$351,266,433","$115,253,424",32.80%,"$236,013,009",67.20%
Titanic 2012 3D Release,"$350,449,521","$57,884,114",16.50%,"$292,565,407",83.50%
Mary Poppins Returns,"$349,537,494","$171,958,438",49.20%,"$177,579,056",50.80%
The Lorax,"$348,840,316","$214,030,500",61.40%,"$134,809,816",38.60%
The Maze Runner,"$348,319,861","$102,427,862",29.40%,"$245,891,999",70.60%
The Smurfs 2,"$347,545,360","$71,017,784",20.40%,"$276,527,576",79.60%
Trolls,"$346,864,462","$153,707,064",44.30%,"$193,157,398",55.70%
xXx: Return of Xander Cage,"$346,118,277","$44,898,413",13%,"$301,219,864",87%
Star Trek Beyond,"$343,471,816","$158,848,340",46.20%,"$184,623,476",53.80%
Alvin and the Chipmunks: Chipwrecked,"$342,695,435","$133,110,742",38.80%,"$209,584,693",61.20%
A Quiet Place,"$340,939,361","$188,024,361",55.10%,"$152,915,000",44.90%
300: Rise of an Empire,"$337,580,051","$106,580,051",31.60%,"$231,000,000",68.40%
Journey 2: The Mysterious Island,"$335,260,290","$103,860,290",31%,"$231,400,000",69%
The Great Wall,"$334,933,831","$45,540,830",13.60%,"$289,393,001",86.40%
Now You See Me 2,"$334,897,606","$65,075,540",19.40%,"$269,822,066",80.60%
Never Say Die,"$334,530,869",-,-,"$334,530,869",100%
The Good Dinosaur,"$332,207,671","$123,087,120",37.10%,"$209,120,551",62.90%
Free Guy,"$331,526,598","$121,626,598",36.70%,"$209,900,000",63.30%
22 Jump Street,"$331,333,876","$191,719,337",57.90%,"$139,614,539",42.10%
Black Swan,"$329,398,046","$106,954,678",32.50%,"$222,443,368",67.50%
John Wick: Chapter 3 - Parabellum,"$327,777,335","$171,015,687",52.20%,"$156,761,648",47.80%
Crazy Alien,"$327,598,891",-,-,"$327,598,891",100%
Taken 3,"$326,479,141","$89,256,424",27.30%,"$237,222,717",72.70%
The SpongeBob Movie: Sponge Out of Water,"$325,186,032","$162,994,032",50.10%,"$162,192,000",49.90%
Megamind,"$321,885,765","$148,415,853",46.10%,"$173,469,912",53.90%
Green Book,"$321,752,656","$85,080,171",26.40%,"$236,672,485",73.60%
Robin Hood,"$321,669,741","$105,269,730",32.70%,"$216,400,011",67.30%
The Conjuring 2,"$320,392,818","$102,470,008",32%,"$217,922,810",68%
Sonic the Hedgehog,"$319,715,683","$148,974,665",46.60%,"$170,741,018",53.40%
The Last Airbender,"$319,713,881","$131,772,187",41.20%,"$187,941,694",58.80%
The Conjuring,"$319,494,638","$137,400,141",43%,"$182,094,497",57%
The Expendables 2,"$314,975,955","$85,028,192",27%,"$229,947,763",73%
Knives Out,"$312,897,920","$165,363,234",52.80%,"$147,534,686",47.20%
Maze Runner: The Scorch Trials,"$312,296,056","$81,697,192",26.20%,"$230,598,864",73.80%
Resident Evil: The Final Chapter,"$312,242,626","$26,830,068",8.60%,"$285,412,558",91.40%
The Lego Batman Movie,"$311,950,384","$175,750,384",56.30%,"$136,200,000",43.70%
Little Fockers,"$310,650,585","$148,438,600",47.80%,"$162,211,985",52.20%
The Ex-File 3: The Return of The Exes,"$307,592,427","$838,959",0.30%,"$306,753,468",99.70%
The Fault in Our Stars,"$307,166,834","$124,872,350",40.70%,"$182,294,484",59.30%
Rise of the Guardians,"$306,941,670","$103,412,758",33.70%,"$203,528,912",66.30%
Annabelle: Creation,"$306,515,884","$102,092,201",33.30%,"$204,423,683",66.70%
Wonder,"$305,937,718","$132,422,809",43.30%,"$173,514,909",56.70%
Skyscraper,"$304,868,961","$68,420,120",22.40%,"$236,448,841",77.60%
A Good Day to Die Hard,"$304,654,182","$67,349,198",22.10%,"$237,304,984",77.90%
Dangal,"$303,723,636","$12,391,761",4.10%,"$291,331,875",95.90%
Passengers,"$303,144,152","$100,014,699",33%,"$203,129,453",67%
Battleship,"$303,025,485","$65,422,625",21.60%,"$237,602,860",78.40%
Wrath of the Titans,"$301,970,083","$83,670,083",27.70%,"$218,300,000",72.30%
Resident Evil: Afterlife,"$300,228,084","$60,128,566",20%,"$240,099,518",80%
Alice Through the Looking Glass,"$299,457,024","$77,041,381",25.70%,"$222,415,643",74.30%
Real Steel,"$299,268,508","$85,468,508",28.60%,"$213,800,000",71.40%
Ocean's Eight,"$297,718,711","$140,218,711",47.10%,"$157,500,000",52.90%
A Quiet Place Part II,"$297,372,261","$160,072,261",53.80%,"$137,300,000",46.20%
The Divergent Series: Insurgent,"$297,002,527","$130,179,072",43.80%,"$166,823,455",56.20%
Miss Peregrine's Home for Peculiar Children,"$296,482,446","$87,242,834",29.40%,"$209,239,612",70.60%
Ferdinand,"$296,069,199","$84,410,380",28.50%,"$211,658,819",71.50%
Shutter Island,"$294,804,195","$128,012,934",43.40%,"$166,791,261",56.60%
Salt,"$293,503,354","$118,311,368",40.30%,"$175,191,986",59.70%
Pacific Rim: Uprising,"$290,930,148","$59,874,525",20.60%,"$231,055,623",79.40%
Sex and the City 2,"$290,745,055","$95,347,692",32.80%,"$195,397,363",67.20%
Divergent,"$288,885,818","$150,947,895",52.30%,"$137,937,923",47.70%
Bridesmaids,"$288,383,523","$169,106,725",58.60%,"$119,276,798",41.40%
Maze Runner: The Death Cure,"$288,175,335","$58,032,443",20.10%,"$230,142,892",79.90%
Pitch Perfect 2,"$287,144,079","$184,296,230",64.20%,"$102,847,849",35.80%
Oblivion,"$286,168,572","$89,107,235",31.10%,"$197,061,337",68.90%
Elysium,"$286,140,700","$93,050,117",32.50%,"$193,090,583",67.50%
Elvis,"$286,040,048","$151,040,048",52.80%,"$135,000,000",47.20%
John Carter,"$284,139,100","$73,078,100",25.70%,"$211,061,000",74.30%
Turbo,"$282,570,682","$83,028,128",29.40%,"$199,542,554",70.60%
Paddington,"$282,370,135","$76,271,832",27%,"$206,098,303",73%
The Tourist,"$278,780,441","$67,631,157",24.30%,"$211,149,284",75.70%
